Estado;CAMPAIGN;Palabra clave;Tipo de coincidencia;Estado;Puja recomendada (bajo)(EUR);Puja recomendada (mediana)(EUR);Puja recomendada (alto)(EUR);Puja por palabra clave(EUR);PI del top de búsquedas;Impresiones;Clics;Tasa de clics (CTR);Inversión(EUR);Costo por clic (CPC)(EUR);Pedidos;Ventas(EUR);ACOS;KENP leídas;Estimación de regalías de KENP(EUR)
ENABLED;Kindle;kindle libros;BROAD;CAMPAIGN_PAUSED;0.18;0.24;0.31;0.08;;3815;24;0.0063;9.81;0.41;0;0.00;;0;0.00
ENABLED;Kindle;kindle libros;EXACT;CAMPAIGN_PAUSED;0.17;0.22;0.44;0.08;;173;1;0.0058;0.89;0.89;0;0.00;;0;0.00
PAUSED;Kindle;kindle libros;PHRASE;CAMPAIGN_PAUSED;0.19;0.27;0.40;0.08;;1479;4;0.0027;1.02;0.26;0;0.00;;0;0.00
PAUSED;Kindle;kindle unlimited libros;PHRASE;CAMPAIGN_PAUSED;0.19;0.23;0.31;0.08;;406;4;0.0099;2.36;0.59;0;0.00;;0;0.00
ENABLED;Kindle;kindle unlimited libros;EXACT;CAMPAIGN_PAUSED;0.15;0.27;0.27;0.08;;878;6;0.0068;2.79;0.47;0;0.00;;6;0.03
PAUSED;Kindle;kindle unlimited libros;BROAD;CAMPAIGN_PAUSED;0.17;0.23;0.35;0.08;;140;2;0.0143;0.41;0.21;0;0.00;;0;0.00
PAUSED;Kindle;libro fantasia;PHRASE;CAMPAIGN_PAUSED;0.16;0.20;0.33;0.08;;487;7;0.0144;1.69;0.24;0;0.00;;0;0.00
ENABLED;Kindle;libro fantasia;EXACT;CAMPAIGN_PAUSED;0.16;0.19;0.27;0.08;;230;1;0.0043;0.27;0.27;0;0.00;;0;0.00
ENABLED;Kindle;libro fantasia;BROAD;CAMPAIGN_PAUSED;0.17;0.22;0.44;0.08;;69;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 10 años;EXACT;CAMPAIGN_PAUSED;0.28;0.39;0.78;0.08;;1;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 10 años;BROAD;CAMPAIGN_PAUSED;0.22;0.28;0.56;0.08;;122;1;0.0082;0.13;0.13;0;0.00;;0;0.00
ENABLED;Kindle;libros 10 años;PHRASE;CAMPAIGN_PAUSED;0.24;0.33;0.48;0.08;;13;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 10 años mas vendidos;BROAD;CAMPAIGN_PAUSED;0.22;0.27;0.44;0.08;;36;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 10 años mas vendidos;PHRASE;CAMPAIGN_PAUSED;0.22;0.34;0.34;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 10 años mas vendidos;EXACT;CAMPAIGN_PAUSED;0.22;0.33;0.33;0.08;;22;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 10 años niña;BROAD;CAMPAIGN_PAUSED;0.23;0.29;0.39;0.08;;15;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 10 años niña;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;14;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 10 años niña;EXACT;CAMPAIGN_PAUSED;;;;0.08;;35;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 10 años niño;BROAD;CAMPAIGN_PAUSED;0.17;0.20;0.20;0.08;;16;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 10 años niño;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;3;1;0.3333;0.15;0.15;0;0.00;;0;0.00
ENABLED;Kindle;libros 10 años niño;EXACT;CAMPAIGN_PAUSED;;;;0.08;;41;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 10-12 años;PHRASE;CAMPAIGN_PAUSED;0.13;0.24;0.24;0.08;;7;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 10-12 años;EXACT;CAMPAIGN_PAUSED;0.13;0.24;0.24;0.08;;55;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años;BROAD;CAMPAIGN_PAUSED;0.17;0.24;0.40;0.08;;86;2;0.0233;1.31;0.66;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años;PHRASE;CAMPAIGN_PAUSED;0.17;0.23;0.46;0.08;;31;2;0.0645;1.55;0.78;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años;EXACT;CAMPAIGN_PAUSED;0.16;0.24;0.45;0.08;;153;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años aventuras;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años aventuras;EXACT;CAMPAIGN_PAUSED;;;;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años mas vendidos;BROAD;CAMPAIGN_PAUSED;0.24;0.28;0.35;0.08;;50;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años mas vendidos;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años mas vendidos;EXACT;CAMPAIGN_PAUSED;;;;0.08;;45;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años niña;BROAD;CAMPAIGN_PAUSED;;;;0.08;;17;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años niña;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;2;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años niña;EXACT;CAMPAIGN_PAUSED;;;;0.08;;22;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años niñas;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años niñas;EXACT;CAMPAIGN_PAUSED;;;;0.08;;15;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años niñas;BROAD;CAMPAIGN_PAUSED;0.18;0.27;0.42;0.08;;15;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años niño;BROAD;CAMPAIGN_PAUSED;0.24;0.28;0.35;0.08;;4;1;0.25;0.31;0.31;0;0.00;;0;0.00
ENABLED;Kindle;libros 11 años niño;EXACT;CAMPAIGN_PAUSED;;;;0.08;;6;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11-12 años;BROAD;CAMPAIGN_PAUSED;0.17;0.27;0.33;0.08;;13;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11-12 años;PHRASE;CAMPAIGN_PAUSED;0.15;0.29;0.29;0.08;;2;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 11-12 años;EXACT;CAMPAIGN_PAUSED;0.15;0.29;0.29;0.08;;6;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 12 años;BROAD;CAMPAIGN_PAUSED;0.18;0.25;0.50;0.08;;70;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 12 años;PHRASE;CAMPAIGN_PAUSED;0.19;0.25;0.38;0.08;;142;3;0.0211;1.48;0.49;0;0.00;;0;0.00
ENABLED;Kindle;libros 12 años mas vendidos;BROAD;CAMPAIGN_PAUSED;0.21;0.28;0.48;0.08;;41;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 12 años mas vendidos;PHRASE;CAMPAIGN_PAUSED;0.19;0.39;0.39;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 12 años mas vendidos;EXACT;CAMPAIGN_PAUSED;;;;0.08;;216;1;0.0046;0.49;0.49;0;0.00;;0;0.00
ENABLED;Kindle;libros 12 años mas vendidos niños;BROAD;CAMPAIGN_PAUSED;0.21;0.30;0.53;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 12 años mas vendidos niños;PHRASE;CAMPAIGN_PAUSED;0.21;0.28;0.40;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 12 años mas vendidos niños;EXACT;CAMPAIGN_PAUSED;0.19;0.38;0.38;0.08;;722;4;0.0055;2.52;0.63;0;0.00;;0;0.00
