Estado;CAMPAIGN;Palabra clave;Tipo de coincidencia;Estado;Puja recomendada (bajo)(EUR);Puja recomendada (mediana)(EUR);Puja recomendada (alto)(EUR);Puja por palabra clave(EUR);PI del top de búsquedas;Impresiones;Clics;Tasa de clics (CTR);Inversión(EUR);Costo por clic (CPC)(EUR);Pedidos;Ventas(EUR);ACOS;KENP leídas;Estimación de regalías de KENP(EUR)
ENABLED;PHASE;novelas juveniles 15 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles 14 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles 13 años;PHRASE;CAMPAIGN_PAUSED;0.15;0.31;0.31;0.10;8333333333333330%;9;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles 12 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;4141414141414140%;102;1;0.0098;1.18;1.18;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles 11 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;>95%;2;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles;PHRASE;CAMPAIGN_PAUSED;0.14;0.20;0.30;0.10;49179431072210000%;2709;28;0.0103;12.08;0.43;0;0.00;;0;0.00
ENABLED;PHASE;novelas juveniles;EXACT;CAMPAIGN_PAUSED;0.14;0.20;0.22;0.10;13131313131313100%;1123;2;0.0018;0.95;0.48;1;15.99;0.0594;0;0.00
ENABLED;PHASE;novelas juveniles;BROAD;CAMPAIGN_PAUSED;0.16;0.20;0.29;0.10;7391304347826080%;2760;1;0.0004;0.58;0.58;0;0.00;;0;0.00
ENABLED;PHASE;novelas fantasticas;PHRASE;CAMPAIGN_PAUSED;0.16;0.22;0.26;0.10;50887573964497000%;305;2;0.0066;1.47;0.74;0;0.00;;0;0.00
ENABLED;PHASE;novelas fantasia juvenil;PHRASE;CAMPAIGN_PAUSED;;;;0.15;4166666666666660%;30;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novelas fantasia;PHRASE;CAMPAIGN_PAUSED;0.14;0.17;0.34;0.10;62.5%;179;3;0.0168;2.30;0.77;0;0.00;;0;0.00
ENABLED;PHASE;novelas faciles de leer;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil mas vendida;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;275;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil fantastica;PHRASE;CAMPAIGN_PAUSED;;;;0.10;5714285714285710%;771;0;0;0.00;0.00;0;0.00;;0;0.00
